Feature,Importance
OverallQual,0.2429535
GarageCars,0.10475005
GrLivArea,0.08128792
TotalBathrooms,0.056303695
PricePerSqFt,0.05012783
CentralAir_Y,0.038427453
Fireplaces,0.029882517
BsmtQual,0.02927841
ExterQual,0.023221252
KitchenQual,0.021331439
KitchenAbvGr,0.01935711
GarageArea,0.017369589
BsmtFinType1_GLQ,0.017264256
MSZoning_RM,0.01629143
FullBath,0.014865538
TotalBsmtSF,0.013563493
GarageType_Attchd,0.012698071
GarageCond,0.012643398
YearBuilt,0.01257324
Neighborhood_ClearCr,0.0114332
SaleType_New,0.011239638
GarageType_Detchd,0.011066583
Alley_None,0.010564946
1stFlrSF,0.010446445
TotRmsAbvGrd,0.010047022
BsmtFinSF1,0.010018908
Neighborhood_Crawfor,0.00961637
LotShape_Reg,0.00797589
2ndFlrSF,0.0073184744
MSZoning_RL,0.0049744234
RemodAge,0.004788379
Functional_Mod,0.0044328677
RoofMatl_Tar&Grv,0.003784384
BsmtExposure_Gd,0.0032177991
GarageYrBlt,0.0030813997
LotArea,0.0030581197
SaleCondition_Normal,0.0030323244
Electrical_SBrkr,0.002771671
OverallCond,0.0027220356
HouseAge,0.002553687
MSSubClass,0.0024734654
BedroomAbvGr,0.0023102085
YearRemodAdd,0.0018555066
Exterior1st_BrkFace,0.0017383881
Neighborhood_Mitchel,0.0016210394
Neighborhood_BrkSide,0.0014186125
HouseStyle_2Story,0.0012219362
SaleCondition_Family,0.0011149165
PoolArea,0.0010607633
Functional_Min2,0.0010321772
HalfBath,0.000987585
LandContour_Low,0.0009808583
TotalPoarchSF,0.00095902383
PavedDrive_P,0.00086450105
Fence_GdWo,0.00084744766
Neighborhood_Sawyer,0.0007590247
Neighborhood_NridgHt,0.000673436
Functional_Typ,0.0006674978
RoofStyle_Gambrel,0.00066104066
PoolQC_None,0.00065808883
GarageQual,0.0006446562
Neighborhood_Somerst,0.00062988576
Neighborhood_StoneBr,0.0006064785
Exterior2nd_Wd Shng,0.0005759126
Condition1_Feedr,0.0005738052
Heating_Grav,0.00056180375
LotConfig_CulDSac,0.0005568387
MSZoning_FV,0.0005377706
Neighborhood_NPkVill,0.00052778574
Exterior2nd_BrkFace,0.0004852
LotFrontage,0.00047406246
BsmtFinType1_LwQ,0.00041063374
BsmtExposure_No,0.00040716195
BldgType_TwnhsE,0.00039613273
HouseStyle_1Story,0.0003882949
Neighborhood_BrDale,0.00037917774
GarageType_CarPort,0.00036565308
Exterior1st_CemntBd,0.0003590584
GarageType_BuiltIn,0.00033696214
ScreenPorch,0.00033222284
BsmtFullBath,0.0003195216
LotConfig_FR2,0.00030349792
Exterior2nd_HdBoard,0.0002941166
SaleType_WD,0.00029026458
HouseStyle_2.5Fin,0.00028299046
OpenPorchSF,0.00028175508
Exterior1st_HdBoard,0.00028124987
Id,0.0002723688
BsmtFinType1_Unf,0.00026871992
MasVnrType_Stone,0.00025604677
FireplaceQu,0.0002542319
RoofStyle_Gable,0.00025365397
Neighborhood_Edwards,0.00025157913
HouseStyle_SFoyer,0.00024947585
HeatingQC,0.00024732284
MasVnrArea,0.00024467518
MoSold,0.00024343969
BsmtUnfSF,0.00023948919
WoodDeckSF,0.00023344495
LandContour_HLS,0.00023214873
Fence_MnPrv,0.00022902041
BldgType_Duplex,0.00022757685
BsmtFinType2_GLQ,0.00021925395
BsmtCond,0.00021146692
BsmtFinType2_Unf,0.00021134868
MiscVal,0.00020444958
Neighborhood_IDOTRR,0.000202034
Neighborhood_NoRidge,0.00019807703
Fence_None,0.00019744194
Exterior2nd_Wd Sdng,0.00019585663
YrSold,0.00018511001
LandContour_Lvl,0.00018445021
LotShape_IR2,0.00018284083
Electrical_FuseF,0.00017439318
Neighborhood_Timber,0.00017363498
BsmtFinSF2,0.00016196686
Neighborhood_CollgCr,0.00016131981
Exterior2nd_Plywood,0.00015992954
MasVnrType_None,0.00015825786
Exterior2nd_CmentBd,0.00015761417
Neighborhood_Gilbert,0.00015740716
Neighborhood_SWISU,0.00015633355
HouseStyle_SLvl,0.00014993167
BsmtFinType2_BLQ,0.00014265643
Foundation_PConc,0.00014006018
LotConfig_Inside,0.00013999685
SaleCondition_Partial,0.0001391764
EnclosedPorch,0.00013628753
GarageFinish_Unf,0.00013145506
BsmtFinType2_LwQ,0.00012791611
BsmtFinType1_BLQ,0.00012763325
Neighborhood_NAmes,0.00012437814
ExterCond,0.00012423372
LowQualFinSF,0.00012267135
Exterior2nd_MetalSd,0.00012220506
Exterior1st_Stucco,0.00010951825
LandSlope_Sev,0.00010926037
Condition1_Norm,0.000108168984
Exterior1st_MetalSd,0.00010575503
MiscFeature_Shed,0.00010531881
BsmtHalfBath,0.000105268
PavedDrive_Y,0.000104221166
Heating_GasW,0.00010411627
Foundation_CBlock,0.00010383374
Neighborhood_NWAmes,0.00010352292
MasVnrType_BrkFace,0.0001011724
MSZoning_RH,0.000100952704
GarageFinish_RFn,9.845326e-05
Heating_GasA,9.63977e-05
Exterior1st_Plywood,9.443954e-05
Foundation_Slab,9.167416e-05
Neighborhood_SawyerW,8.442176e-05
RoofStyle_Hip,8.233968e-05
Functional_Min1,8.16115e-05
Exterior2nd_VinylSd,7.888792e-05
Fence_MnWw,7.571299e-05
BldgType_Twnhs,7.506129e-05
Condition1_RRAe,7.377445e-05
3SsnPorch,7.297343e-05
Condition2_Norm,7.125399e-05
Exterior1st_Wd Sdng,7.0968665e-05
BsmtFinType1_Rec,6.9326736e-05
Exterior1st_WdShing,5.956897e-05
Neighborhood_OldTown,5.4621036e-05
Condition1_PosN,5.3062024e-05
MiscFeature_None,4.9328333e-05
Exterior1st_VinylSd,4.739488e-05
BsmtExposure_Mn,4.7308167e-05
Condition1_RRAn,3.9202485e-05
Neighborhood_Veenker,3.3937886e-05
LotShape_IR3,2.8547953e-05
Exterior2nd_ImStucc,2.6309597e-05
BsmtExposure_None,2.5990714e-05
BsmtFinType2_Rec,2.4833222e-05
LandSlope_Mod,1.9442743e-05
Exterior2nd_Brk Cmn,1.8319279e-05
LotConfig_FR3,1.6468392e-05
Exterior2nd_Stone,1.4215321e-05
BsmtFinType1_None,1.1490867e-05
HouseStyle_1.5Unf,1.0592046e-05
Condition1_RRNn,6.88388e-06
Condition1_PosA,5.9227045e-06
Street_Pave,0.0
Utilities_NoSeWa,0.0
Alley_Pave,0.0
Condition2_Feedr,0.0
Condition1_RRNe,0.0
Neighborhood_MeadowV,0.0
Neighborhood_Blueste,0.0
Condition2_RRNn,0.0
BldgType_2fmCon,0.0
RoofStyle_Shed,0.0
Condition2_PosN,0.0
HouseStyle_2.5Unf,0.0
Condition2_RRAn,0.0
Condition2_RRAe,0.0
RoofMatl_WdShngl,0.0
Exterior1st_BrkComm,0.0
Exterior1st_AsphShn,0.0
Exterior1st_CBlock,0.0
Exterior1st_ImStucc,0.0
Foundation_Stone,0.0
Foundation_Wood,0.0
Exterior2nd_Stucco,0.0
Exterior2nd_Other,0.0
Exterior2nd_AsphShn,0.0
Exterior1st_Stone,0.0
Exterior2nd_CBlock,0.0
RoofStyle_Mansard,0.0
RoofMatl_WdShake,0.0
RoofMatl_Roll,0.0
RoofMatl_Metal,0.0
Electrical_FuseP,0.0
Heating_Wall,0.0
