Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,HouseAge,RemodAge,TotalBathrooms,TotalPoarchSF,PricePerSqFt
1,60,RL,65.0,8450,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,196.0,2,4,PConc,2,4,No,GLQ,706,Unf,0,150,856,GasA,0,Y,SBrkr,856,854,0,1710,1,0,2,1,3,1,2,8,Typ,0,3,Attchd,2003.0,RFn,2,548,5,5,Y,0,61,0,0,0,0,None,None,None,0,2,2008,WD,Normal,12.24769911637256,5,5,3.5,61,121.9298245614035
2,20,RL,80.0,9600,Pave,None,Reg,Lvl,AllPub,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,6,8,1976,1976,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,4,CBlock,2,4,Gd,ALQ,978,Unf,0,284,1262,GasA,0,Y,SBrkr,1262,0,0,1262,0,1,2,0,3,1,3,6,Typ,1,5,Attchd,1976.0,RFn,2,460,5,5,Y,298,0,0,0,0,0,None,None,None,0,5,2007,WD,Normal,12.109016442313738,31,31,2.5,0,143.81933438985737
3,60,RL,68.0,11250,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,162.0,2,4,PConc,2,4,Mn,GLQ,486,Unf,0,434,920,GasA,0,Y,SBrkr,920,866,0,1786,1,0,2,1,3,1,2,6,Typ,1,5,Attchd,2001.0,RFn,2,608,5,5,Y,0,42,0,0,0,0,None,None,None,0,9,2008,WD,Normal,12.317171167298682,7,6,3.5,42,125.13997760358343
4,70,RL,60.0,9550,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,7,5,1915,1970,Gable,CompShg,Wd Sdng,Wd Shng,None,0.0,3,4,BrkTil,4,1,No,ALQ,216,Unf,0,540,756,GasA,2,Y,SBrkr,961,756,0,1717,1,0,1,0,3,1,2,7,Typ,1,2,Detchd,1998.0,Unf,3,642,5,5,Y,0,35,272,0,0,0,None,None,None,0,2,2006,WD,Abnorml,11.849404844423074,91,36,2.0,307,81.537565521258
5,60,RL,84.0,14260,Pave,None,IR1,Lvl,AllPub,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,350.0,2,4,PConc,2,4,Av,GLQ,655,Unf,0,490,1145,GasA,0,Y,SBrkr,1145,1053,0,2198,1,0,2,1,4,1,2,9,Typ,1,5,Attchd,2000.0,RFn,3,836,5,5,Y,192,84,0,0,0,0,None,None,None,0,12,2008,WD,Normal,12.429220196836383,8,8,3.5,84,113.73976342129208
6,50,RL,85.0,14115,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,5,5,1993,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,Wood,2,4,No,GLQ,732,Unf,0,64,796,GasA,0,Y,SBrkr,796,566,0,1362,1,0,1,1,1,1,3,5,Typ,0,3,Attchd,1993.0,Unf,2,480,5,5,Y,40,30,0,320,0,0,None,MnPrv,Shed,700,10,2009,WD,Normal,11.870606902224587,16,14,2.5,350,104.99265785609398
7,20,RL,75.0,10084,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,186.0,2,4,PConc,0,4,Av,GLQ,1369,Unf,0,317,1686,GasA,0,Y,SBrkr,1694,0,0,1694,1,0,2,0,3,1,2,7,Typ,1,2,Attchd,2004.0,RFn,2,636,5,5,Y,255,57,0,0,0,0,None,None,None,0,8,2007,WD,Normal,12.634606283893019,3,2,3.0,57,181.22786304604486
8,60,RL,80.0,10382,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,7,6,1973,1973,Gable,CompShg,HdBoard,HdBoard,Stone,240.0,3,4,CBlock,2,4,Mn,ALQ,859,BLQ,32,216,1107,GasA,0,Y,SBrkr,1107,983,0,2090,1,0,2,1,3,1,3,7,Typ,2,5,Attchd,1973.0,RFn,2,484,5,5,Y,235,204,228,0,0,0,None,None,Shed,350,11,2009,WD,Normal,12.206077645517674,36,36,3.5,432,95.69377990430623
9,50,RM,51.0,6120,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,7,5,1931,1950,Gable,CompShg,BrkFace,Wd Shng,None,0.0,3,4,BrkTil,4,4,No,Unf,0,Unf,0,952,952,GasA,2,Y,FuseF,1022,752,0,1774,0,0,2,0,2,2,3,8,Min1,2,5,Detchd,1931.0,Unf,2,468,1,5,Y,90,0,205,0,0,0,None,None,None,0,4,2008,WD,Abnorml,11.774527900858468,77,58,2.0,205,73.22435174746336
10,190,RL,50.0,7420,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,6,1939,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,4,BrkTil,4,4,No,GLQ,851,Unf,0,140,991,GasA,0,Y,SBrkr,1077,0,0,1077,1,0,1,0,2,2,3,5,Typ,2,5,Attchd,1939.0,RFn,1,205,2,5,Y,0,4,0,0,0,0,None,None,None,0,1,2008,WD,Normal,11.678448377988165,69,58,2.0,4,109.5636025998143
